АДЕНОСТИЛЕС РОМБОЛИСТНЫЙ
АИР ОБЫКНОВЕННЫЙ
АЛОЭ ДРЕВОВИДНОЕ
АЛТЕЙ ЛЕКАРСТВЕННЫЙ
АММИ БОЛЬШАЯ
АММИ ЗУБНАЯ
АНИС ОБЫКНОВЕННЫЙ
АРАЛИЯ ВЫСОКАЯ
АРНИКА ГОРНАЯ
АРНИКА ШАМИССО
АРОНИЯ ЧЕРНОПЛОДНАЯ
АСТРАГАЛ ШЕРСТИСТОЦВЕТКОВЫЙ
БАГУЛЬНИК БОЛОТНЫЙ
БАДАН ТОЛСТОЛИСТНЫЙ
БАРАНЕЦ ОБЫКНОВЕННЫЙ
БАРБАРИС ОБЫКНОВЕННЫЙ
БАРВИНОК МАЛЫЙ
БАРХАТ АМУРСКИЙ
БЕДРЕНЕЦ КАМНЕЛОМКА
БЕЗВРЕМЕННИК ВЕЛИКОЛЕПНЫЙ
БЕЛЕНА ЧЕРНАЯ
БЕЛОКОПЫТНИК ГИБРИДНЫЙ
БЕРЁЗА ПОВИСЛАЯ
БЕССМЕРТНИК ПЕСЧАНЫЙ
БОРЕЦ СЕВЕРНЫЙ
БОЯРЫШНИК КРОВАВО-КРАСНЫЙ
БРИОФИЛЛУМ ПЕРИСТЫЙ
БРУСНИКА ОБЫКНОВЕННАЯ
БУЗИНА ЧЕРНАЯ
ВАЛЕРИАНА ЛЕКАРСТВЕННАЯ
ВАСИЛЕК БЛАГОСЛОВЕННЫЙ
ВАСИЛЕК ПОСЕВНОЙ
ВАХТА ТРЕХЛИСТНАЯ
ВЕРБЕНА ЛЕКАРСТВЕННАЯ
ВЗДУТОПЛОДНИК СИБИРСКИЙ
ВИНОГРАД КУЛЬТУРНЫЙ
ВОДОСБОР ОБЫКНОВЕННЫЙ
ВОЛОДУШКА ЗОЛОТИСТАЯ
ГАМАМЕЛИС ВИРГИНСКИЙ
ГАРМАЛА ОБЫКНОВЕННАЯ
ГОРЕЦ ЗМЕИНЫЙ
